tip_id,H1_002N,P1_001N,P3_001N,min_perc,lt_2x_pov_perc,hh_0veh_perc,low_inc_hh_perc,lep_perc,u18_perc,p75_perc,disab_perc,workers16p_perc,min_num,lt_2x_pov_num,hh_0veh_num,low_inc_hh_num,lep_num,u18_num,p75_num,disab_num,workers16p_num
608007,393.494477862664,1077.1066266959488,790.8403454938338,0.06,0.08,0.02,0.16,0,0.23,0.09,0.08,0.63,64.62639760175692,86.16853013567591,7.86988955725328,62.95911645802624,0,247.73452414006823,96.93959640263539,86.16853013567591,498.2294176611153
608045,557.3132840088505,1430.907722965447,1161.4805946104896,0.35,0.11,0.1,0.24,0.11,0.16,0.08,0.08,0.66,500.8177030379064,157.39984952619918,55.73132840088505,133.7551881621241,157.39984952619918,228.94523567447152,114.47261783723576,114.47261783723576,766.5771924429231
608051,795.1773948081816,2251.492523465881,1788.1281905054734,0.17,0.08,0.04,0.17,0.03,0.25,0.06,0.11,0.67,382.75372898919977,180.11940187727046,31.807095792327264,135.18015711739088,67.54477570397643,562.8731308664702,135.08955140795285,247.6641775812469,1198.0458876386672
608067,592.7872744934526,1358.8690745762678,1119.0665707497508,0.35,0.14,0.06,0.22,0.13,0.17,0.14,0.11,0.63,475.6041761016937,190.24167044067752,35.56723646960716,130.41320038855957,176.65297969491482,231.00774267796555,190.24167044067752,149.47559820338947,705.011939572343
608078,8726.94210685324,26756.13033813607,20000.503580941742,0.83,0.43,0.33,0.44,0.4,0.27,0.04,0.13,0.67,22207.588180652936,11505.13604539851,2879.890895261569,3839.8545270154254,10702.452135254429,7224.15519129674,1070.2452135254428,3478.296943957689,13400.337399230968
608164,845.7353356943277,2380.4199463454142,1771.631128469013,0.19,0.06,0.05,0.13,0.04,0.28,0.09,0.06,0.64,452.2797898056287,142.82519678072484,42.286766784716384,109.9455936402626,95.21679785381657,666.5175849767161,214.23779517108727,142.82519678072484,1133.8439222201685
608229,330.2373598543511,941.4025081400388,704.3067845878704,0.33,0.04,0.02,0.11,0.06,0.25,0.06,0.06,0.67,310.66282768621284,37.65610032560155,6.604747197087022,36.32610958397862,56.48415048840233,235.3506270350097,56.48415048840233,56.48415048840233,471.8855456738732
608348,3835.141888526883,8574.993501008188,7056.632444096769,0.16,0.21,0.12,0.28,0.05,0.19,0.05,0.11,0.68,1371.9989601613102,1800.7486352117194,460.21702662322593,1073.8397287875273,428.74967505040945,1629.2487651915558,428.74967505040945,943.2492851109007,4798.510061985803
608436,645.7470515838643,1706.846911745995,1329.033958445761,0.32,0.16,0.04,0.22,0.05,0.22,0.06,0.07,0.72,546.1910117587184,273.0955058793592,25.82988206335457,142.06435134845015,85.34234558729975,375.5063205841189,102.41081470475969,119.47928382221966,956.904450080948
608443,155.1878079148204,410.4485343720612,320.1338526962064,0.2,0.08,0,0.1,0.02,0.22,0.05,0.11,0.69,82.08970687441224,32.8358827497649,0,15.518780791482042,8.208970687441225,90.29867756185347,20.52242671860306,45.14933878092673,220.89235836038242
608707,1672.1726514850366,4083.7840568222305,3298.909493748914,0.28,0.3,0.11,0.32,0.14,0.18,0.08,0.11,0.65,1143.4595359102245,1225.1352170466691,183.93899166335402,535.0952484752117,571.7297679551123,735.0811302280015,326.70272454577844,449.21624625044535,2144.291170936794
608887,496.6036745407615,1212.9811964169182,993.0623695388769,0.13,0.08,0.05,0.25,0.04,0.18,0.05,0.09,0.71,157.6875555341994,97.03849571335346,24.830183727038076,124.15091863519038,48.51924785667673,218.33661535504527,60.64905982084591,109.16830767752263,705.0742823726025
608889,310.33085777711335,893.5166972414512,759.3642585848496,0.31,0.1,0.14,0.15,0.04,0.12,0.19,0.13,0.69,276.9901761448499,89.35166972414513,43.44632008879587,46.549628666567,35.74066788965805,107.22200366897414,169.76817247587573,116.15717064138866,523.9613384235462
608933,4373.554191017539,9769.267284782529,7892.690070090799,0.39,0.36,0.15,0.43,0.14,0.19,0.09,0.13,0.6,3810.0142410651865,3516.93622252171,656.0331286526308,1880.6283021375416,1367.697419869554,1856.1607841086804,879.2340556304275,1270.0047470217287,4735.614042054479
608940,133.2722350268279,332.79460002105037,256.3294119416288,0.23,0.12,0.05,0.19,0.06,0.29,0.11,0.07,0.47,76.54275800484159,39.935352002526045,6.663611751341396,25.321724655097302,19.967676001263023,96.5104340061046,36.60740600231554,23.29562200147353,120.47482361256553
608954,543.2177731651939,1705.638553428052,1317.6694039163733,0.26,0.11,0.05,0.18,0.04,0.26,0.1,0.07,0.52,443.46602389129356,187.62024087708573,27.160888658259694,97.7791991697349,68.22554213712209,443.46602389129356,170.56385534280523,119.39469873996366,685.1880900365142
608955,747.0494667531674,2206.305867424703,1615.6615534240063,0.15,0.09,0.01,0.14,0.03,0.28,0.07,0.05,0.68,330.94588011370547,198.56752806822328,7.470494667531674,104.58692534544345,66.1891760227411,617.765642878917,154.44141071972925,110.31529337123516,1098.6498563283244
609054,153.48845572856015,443.2195675638218,341.6080923382425,0.21,0.04,0.01,0.15,0.05,0.26,0.1,0.12,0.65,93.07610918840257,17.728782702552873,1.5348845572856016,23.02326835928402,22.16097837819109,115.23708756659367,44.32195675638218,53.18634810765861,222.04526001985764
609204,2750.9105985496044,7226.262471509672,5463.2929877147035,0.34,0.13,0.08,0.2,0.09,0.28,0.08,0.07,0.64,2456.9292403132886,939.4141212962573,220.07284788396836,550.1821197099209,650.3636224358704,2023.3534920227082,578.1009977207738,505.83837300567706,3496.5075121374102
