projis,GEOID,area_fraction
S13398,250173603001,1.000000000000000
S13400,250173603001,1.000000000000000
S13403,250173603001,1.000000000000000
S13390,250173603002,0.000002107267969
S13391,250173603002,0.000002107267969
S13392,250173603002,0.000002107267969
S13396,250173603002,1.000000002256244
S13398,250173603002,1.000000002256244
S13400,250173603002,1.000000002256244
S13403,250173603002,1.000000002256244
S13390,250173603003,0.000059614547752
S13391,250173603003,0.000059614547752
S13392,250173603003,0.000059614547752
S13396,250173603003,0.999556634031997
S13398,250173603003,0.999999990529651
S13400,250173603003,0.999999990529651
S13403,250173603003,0.999999990529651
S13396,250173603004,0.999998722049556
S13398,250173603004,1.000000004508640
S13400,250173603004,1.000000004508640
S13403,250173603004,1.000000004508640
S13396,250173603005,1.000000000000000
S13398,250173603005,1.000000000000000
S13400,250173603005,1.000000000000000
S13403,250173603005,1.000000000000000
S13396,250173611001,1.000000000000000
S13398,250173611001,1.000000000000000
S13400,250173611001,1.000000000000000
S13403,250173611001,1.000000000000000
S13396,250173611002,1.000000000000000
S13398,250173611002,1.000000000000000
S13400,250173611002,1.000000000000000
S13403,250173611002,1.000000000000000
S13396,250173611003,1.000000000000000
S13398,250173611003,1.000000000000000
S13400,250173611003,1.000000000000000
S13403,250173611003,1.000000000000000
S13390,250173611004,0.000057336776164
S13391,250173611004,0.000057336776164
S13392,250173611004,0.000057336776164
S13396,250173611004,0.999874569227814
S13398,250173611004,1.000000009228301
S13400,250173611004,1.000000009228301
S13403,250173611004,1.000000009228301
S13390,250173611005,0.000003586533645
S13391,250173611005,0.000003586533645
S13392,250173611005,0.000003586533645
S13396,250173611005,0.999978517894484
S13398,250173611005,0.999999996584778
S13400,250173611005,0.999999996584778
S13403,250173611005,0.999999996584778
S13390,250173612001,0.000001245868505
S13391,250173612001,0.000001245868505
S13392,250173612001,0.000001245868505
S13396,250173612001,0.999963337523964
S13398,250173612001,1.000000000095205
S13400,250173612001,1.000000000095205
S13403,250173612001,1.000000000095205
S13396,250173612002,1.000000000000000
S13398,250173612002,1.000000000000000
S13400,250173612002,1.000000000000000
S13403,250173612002,1.000000000000000
S13396,250173612003,1.000000000000000
S13398,250173612003,1.000000000000000
S13400,250173612003,1.000000000000000
S13403,250173612003,1.000000000000000
S13396,250173612004,1.000000000000000
S13398,250173612004,1.000000000000000
S13400,250173612004,1.000000000000000
S13403,250173612004,1.000000000000000
S13390,250173612005,0.000137877360471
S13391,250173612005,0.000137877360471
S13392,250173612005,0.000137877360471
S13396,250173612005,0.999713264988179
S13398,250173612005,1.000000001614948
S13400,250173612005,1.000000001614948
S13403,250173612005,1.000000001614948
S13396,250173613001,1.000000000000000
S13398,250173613001,1.000000000000000
S13400,250173613001,1.000000000000000
S13403,250173613001,1.000000000000000
S13396,250173613002,1.000000000000000
S13398,250173613002,1.000000000000000
S13400,250173613002,1.000000000000000
S13403,250173613002,1.000000000000000
S13396,250173613003,1.000000000000000
S13398,250173613003,1.000000000000000
S13400,250173613003,1.000000000000000
S13403,250173613003,1.000000000000000
S13396,250173613004,0.999909555230706
S13398,250173613004,0.999999997838692
S13400,250173613004,0.999999997838692
S13403,250173613004,0.999999997838692
S13396,250173613005,0.999922075742569
S13398,250173613005,0.999999999854192
S13400,250173613005,0.999999999854192
S13403,250173613005,0.999999999854192
S13396,250173621001,0.000010282727125
S13398,250173621001,1.000000000240472
S13400,250173621001,1.000000000240472
S13403,250173621001,1.000000000240472
S13396,250173621002,0.000090629616684
S13398,250173621002,0.999999998477602
S13400,250173621002,0.999999998477602
S13403,250173621002,0.999999998477602
S13398,250173631031,1.000000000000000
S13400,250173631031,1.000000000000000
S13403,250173631031,1.000000000000000
S13398,250173631032,1.000000000000000
S13400,250173631032,1.000000000000000
S13403,250173631032,1.000000000000000
S13396,250173631041,0.000012374471431
S13398,250173631041,1.000000005785239
S13400,250173631041,1.000000005785239
S13403,250173631041,1.000000005785239
S13396,250173631042,0.000097938637303
S13398,250173631042,0.999999997694337
S13400,250173631042,0.999999997694337
S13403,250173631042,0.999999997694337
S13390,250173631043,0.000000078336979
S13391,250173631043,0.000000078336979
S13392,250173631043,0.000000078336979
S13396,250173631043,0.000155072741535
S13398,250173631043,1.000000004640976
S13400,250173631043,1.000000004640976
S13403,250173631043,1.000000004640976
S13398,250173631044,1.000000000000000
S13400,250173631044,1.000000000000000
S13403,250173631044,1.000000000000000
S13396,250173631051,0.000045662316927
S13398,250173631051,0.999999985074281
S13400,250173631051,0.999999985074281
S13403,250173631051,0.999999985074281
S13398,250173631052,1.000000000000000
S13400,250173631052,1.000000000000000
S13403,250173631052,1.000000000000000
S13396,250173571001,1.000000000000000
S13398,250173571001,1.000000000000000
S13400,250173571001,1.000000000000000
S13403,250173571001,1.000000000000000
S13396,250173567042,1.000000000000000
S13398,250173567042,1.000000000000000
S13400,250173567042,1.000000000000000
S13403,250173567042,1.000000000000000
S13396,250173567043,1.000000000000000
S13398,250173567043,1.000000000000000
S13400,250173567043,1.000000000000000
S13403,250173567043,1.000000000000000
S13396,250173567044,1.000000000000000
S13398,250173567044,1.000000000000000
S13400,250173567044,1.000000000000000
S13403,250173567044,1.000000000000000
S13396,250173571002,1.000000000000000
S13398,250173571002,1.000000000000000
S13400,250173571002,1.000000000000000
S13403,250173571002,1.000000000000000
S13396,250173571003,1.000000000000000
S13398,250173571003,1.000000000000000
S13400,250173571003,1.000000000000000
S13403,250173571003,1.000000000000000
S13396,250173571004,1.000000000000000
S13398,250173571004,1.000000000000000
S13400,250173571004,1.000000000000000
S13403,250173571004,1.000000000000000
S13396,250173572001,1.000000000000000
S13398,250173572001,1.000000000000000
S13400,250173572001,1.000000000000000
S13403,250173572001,1.000000000000000
S13396,250173572002,1.000000000000000
S13398,250173572002,1.000000000000000
S13400,250173572002,1.000000000000000
S13403,250173572002,1.000000000000000
S13396,250173573001,1.000000000000000
S13398,250173573001,1.000000000000000
S13400,250173573001,1.000000000000000
S13403,250173573001,1.000000000000000
S13396,250173573002,1.000000000000000
S13398,250173573002,1.000000000000000
S13400,250173573002,1.000000000000000
S13403,250173573002,1.000000000000000
S13396,250173573003,1.000000000000000
S13398,250173573003,1.000000000000000
S13400,250173573003,1.000000000000000
S13403,250173573003,1.000000000000000
S13396,250173574001,1.000000000000000
S13398,250173574001,1.000000000000000
S13400,250173574001,1.000000000000000
S13403,250173574001,1.000000000000000
S13396,250173574002,1.000000000000000
S13398,250173574002,1.000000000000000
S13400,250173574002,1.000000000000000
S13403,250173574002,1.000000000000000
S13396,250214132011,1.000000000000000
S13398,250214132011,1.000000000000000
S13400,250214132011,1.000000000000000
S13403,250214132011,1.000000000000000
S13396,250214132012,1.000000000000000
S13398,250214132012,1.000000000000000
S13400,250214132012,1.000000000000000
S13403,250214132012,1.000000000000000
S13396,250214132013,1.000000000000000
S13398,250214132013,1.000000000000000
S13400,250214132013,1.000000000000000
S13403,250214132013,1.000000000000000
S13396,250214132021,1.000000000000000
S13398,250214132021,1.000000000000000
S13400,250214132021,1.000000000000000
S13403,250214132021,1.000000000000000
S13396,250214133001,1.000000000000000
S13398,250214133001,1.000000000000000
S13400,250214133001,1.000000000000000
S13403,250214133001,1.000000000000000
S13396,250214133002,1.000000000000000
S13398,250214133002,1.000000000000000
S13400,250214133002,1.000000000000000
S13403,250214133002,1.000000000000000
S13396,250214133003,1.000000000000000
S13398,250214133003,1.000000000000000
S13400,250214133003,1.000000000000000
S13403,250214133003,1.000000000000000
S13396,250214134011,1.000000000000000
S13398,250214134011,1.000000000000000
S13400,250214134011,1.000000000000000
S13403,250214134011,1.000000000000000
